applicant_id,age,gender,race,annual_income,credit_score,debt_to_income,employment_years,loan_amount_requested,previous_defaults,zip_code_risk,ai_risk_score,loan_approved
A00028,62,Female,White,29826.0,850.0,0.495,11.3,12785.0,0,Low,0.2327,1
A00029,41,Female,White,92250.0,720.0,0.283,10.0,33017.0,1,Low,0.4056,1
A00030,24,Female,Other,88254.0,557.0,0.423,12.2,18607.0,0,Medium,0.4069,1
A00031,45,Male,White,38988.0,729.0,0.571,10.9,9045.0,0,Medium,0.255,1
A00032,50,Female,Asian,65514.0,714.0,0.206,4.6,26438.0,0,Low,0.3503,1
A00033,53,Female,Hispanic,68695.0,569.0,0.479,4.2,26970.0,0,Medium,0.5259,0
A00034,59,Female,Hispanic,129466.0,621.0,0.233,4.3,8838.0,0,Medium,0.3769,1
A00035,46,Female,White,35482.0,640.0,0.351,9.1,34250.0,0,Low,0.4767,1
A00036,45,Male,White,15000.0,712.0,0.257,11.4,21832.0,2,High,0.4806,1
A00037,36,Male,White,15000.0,598.0,0.262,10.2,22198.0,0,High,0.493,1
A00038,69,Male,Other,60279.0,587.0,0.296,0.3,21610.0,1,Low,0.5356,0
A00039,44,Non-binary,Asian,80619.0,574.0,0.26,3.1,21377.0,0,High,0.4438,1
A00040,25,Female,White,32761.0,511.0,0.33,8.7,16847.0,0,High,0.5937,0
A00041,62,Female,White,50219.0,737.0,0.525,10.9,24496.0,0,Low,0.4026,1
A00042,59,Female,Black,43929.0,687.0,0.143,7.2,14697.0,0,Low,0.3608,1
A00043,33,Female,White,26424.0,751.0,0.414,12.1,33734.0,0,Medium,0.326,1
A00044,50,Male,Hispanic,70083.0,616.0,0.188,0.0,1000.0,0,High,0.4603,1
A00045,27,Male,Hispanic,15000.0,613.0,0.197,5.2,8900.0,0,High,0.4323,1
A00046,67,Female,Hispanic,70952.0,711.0,0.072,11.7,21553.0,0,Low,0.366,1
A00047,37,Non-binary,Hispanic,44244.0,760.0,0.511,7.4,17205.0,0,Low,0.3704,1
A00048,47,Female,Black,79615.0,769.0,0.314,2.8,12972.0,1,Medium,0.5016,0
A00049,55,Female,White,59313.0,580.0,0.215,9.2,19750.0,0,Low,0.4212,1
A00050,25,Male,Asian,16244.0,765.0,0.369,6.5,5854.0,0,Low,0.2292,1
A00051,62,Male,Asian,62817.0,815.0,0.298,4.2,7637.0,0,Medium,0.1606,1
A00052,25,Male,White,45426.0,718.0,0.515,0.0,16729.0,0,Medium,0.3392,1
A00053,44,Female,White,82326.0,784.0,0.197,8.8,21839.0,0,Low,0.3528,1
A00054,27,Female,White,73186.0,727.0,0.329,1.7,10834.0,0,High,0.4451,1
A00055,27,Female,Asian,83595.0,579.0,0.478,14.6,1000.0,0,Low,0.3917,1
A00056,34,Male,White,46369.0,764.0,0.19,0.0,20297.0,1,Medium,0.4114,1
A00057,35,Male,Hispanic,32098.0,715.0,0.281,6.2,22856.0,2,Medium,0.5053,0
A00058,25,Female,White,54635.0,588.0,0.158,9.0,7086.0,1,Low,0.4362,1
A00059,57,Male,Hispanic,73327.0,629.0,0.22,1.9,14074.0,2,Medium,0.5669,0
A00060,24,Female,Black,31036.0,717.0,0.117,3.2,27099.0,1,High,0.5214,0
A00061,50,Female,White,62719.0,850.0,0.191,9.4,6412.0,0,Medium,0.1577,1
A00062,40,Female,White,64400.0,842.0,0.154,2.2,17675.0,0,Medium,0.2655,1
A00063,46,Non-binary,White,89384.0,500.0,0.25,13.7,11351.0,1,Low,0.4514,1
A00064,29,Male,Hispanic,28943.0,680.0,0.496,6.2,39845.0,0,Low,0.4416,1
A00065,50,Female,Hispanic,67312.0,814.0,0.392,4.3,5729.0,0,Medium,0.352,1
A00066,64,Male,White,42702.0,644.0,0.545,12.5,1000.0,0,High,0.3744,1
A00067,68,Male,Black,36121.0,635.0,0.292,1.8,24062.0,0,Medium,0.4829,1
A00068,42,Male,White,103561.0,632.0,0.215,12.9,14743.0,0,Medium,0.2466,1
A00069,60,Male,Hispanic,66133.0,756.0,0.331,2.1,7695.0,0,Medium,0.2789,1
A00070,61,Female,White,93423.0,715.0,0.259,11.0,13083.0,0,Low,0.2444,1
A00071,64,Female,Asian,36324.0,728.0,0.412,13.5,33159.0,0,Medium,0.3452,1
A00072,50,Male,Black,96915.0,662.0,0.124,5.6,18030.0,2,Low,0.4665,1
A00073,40,Male,Black,44810.0,837.0,0.339,5.6,32647.0,0,Medium,0.3989,1
A00074,48,Male,White,74875.0,652.0,0.576,4.9,5606.0,1,Medium,0.5204,0
A00075,27,Female,White,31371.0,759.0,0.212,2.9,28871.0,1,Medium,0.4208,1
A00076,24,Female,Black,28177.0,493.0,0.284,6.3,8315.0,0,High,0.6252,0
A00077,48,Female,Black,54335.0,677.0,0.091,9.6,30268.0,1,Low,0.438,1
A00078,55,Male,White,93724.0,638.0,0.516,8.4,29452.0,0,Low,0.4477,1
A00079,53,Male,Asian,86595.0,689.0,0.335,8.0,8052.0,1,Medium,0.3573,1
A00080,27,Male,White,58533.0,534.0,0.272,3.1,22223.0,0,High,0.4896,1
A00081,29,Female,White,46922.0,827.0,0.357,1.7,20069.0,2,Low,0.4474,1
A00082,54,Male,Hispanic,62961.0,695.0,0.339,13.1,27361.0,1,High,0.4587,1
A00083,59,Male,Asian,28698.0,850.0,0.245,0.7,6674.0,0,Medium,0.2313,1
A00084,62,Male,White,58500.0,751.0,0.139,5.4,13935.0,1,Medium,0.2933,1
A00085,54,Female,Hispanic,56183.0,704.0,0.373,9.0,18480.0,0,High,0.4466,1
A00086,33,Male,Hispanic,56294.0,681.0,0.352,12.1,33047.0,0,Medium,0.2886,1
A00087,49,Female,Other,66611.0,740.0,0.292,6.1,18597.0,1,Medium,0.4128,1
A00088,55,Female,White,74801.0,748.0,0.304,7.1,8290.0,1,Medium,0.3666,1
A00089,65,Female,Other,15000.0,725.0,0.512,4.1,21210.0,0,Medium,0.3536,1
A00090,30,Male,White,34228.0,850.0,0.394,12.9,7849.0,2,Low,0.3195,1
A00091,50,Male,White,38611.0,784.0,0.151,11.5,1137.0,0,Medium,0.1482,1
A00092,64,Female,White,51042.0,623.0,0.543,2.0,16383.0,0,Medium,0.4019,1
A00093,46,Male,White,53244.0,609.0,0.452,8.6,20778.0,0,Medium,0.4547,1
A00094,55,Male,Hispanic,70854.0,720.0,0.441,5.5,19928.0,1,Low,0.5124,0
A00095,48,Male,Black,63050.0,697.0,0.231,7.2,18535.0,0,Medium,0.3909,1
A00096,49,Male,White,84956.0,705.0,0.478,2.8,35857.0,1,Low,0.5161,0
A00097,26,Male,White,47496.0,534.0,0.377,0.0,33513.0,1,High,0.6044,0
A00098,23,Female,White,38021.0,760.0,0.176,1.6,9757.0,1,Low,0.3674,1
A00099,49,Male,White,51502.0,646.0,0.393,3.8,27433.0,0,Medium,0.3694,1
A00100,22,Male,White,55745.0,850.0,0.493,4.0,40619.0,0,Low,0.3148,1
A00101,42,Male,White,57486.0,701.0,0.435,0.0,35583.0,0,Medium,0.4367,1
A00102,66,Female,White,48601.0,670.0,0.08,7.2,28080.0,0,Medium,0.3342,1
A00103,67,Female,Black,82145.0,724.0,0.41,0.4,16660.0,2,Medium,0.5499,0
A00104,47,Male,Asian,79633.0,621.0,0.295,5.8,4954.0,0,Low,0.3516,1
A00105,42,Female,White,82189.0,831.0,0.067,1.3,8386.0,0,High,0.2605,1
A00106,30,Male,White,30333.0,850.0,0.447,0.0,23283.0,2,Low,0.4704,1
A00107,69,Female,Black,73116.0,746.0,0.452,5.8,20944.0,1,High,0.6368,0
A00108,69,Female,White,95144.0,740.0,0.345,5.2,18687.0,0,Medium,0.3807,1
A00109,39,Female,Black,82985.0,627.0,0.197,6.4,27101.0,0,Low,0.4515,1
A00110,44,Female,Asian,42159.0,679.0,0.559,12.4,29699.0,2,Medium,0.5589,0
A00111,47,Male,Hispanic,46705.0,729.0,0.432,8.8,29685.0,0,Medium,0.3712,1
A00112,56,Female,Hispanic,15755.0,577.0,0.441,13.9,25363.0,0,Medium,0.4441,1
A00113,63,Male,White,87147.0,822.0,0.488,4.8,23173.0,1,Low,0.3387,1
A00114,37,Non-binary,White,30583.0,542.0,0.532,3.1,12734.0,0,High,0.5147,0
A00115,30,Male,Black,43021.0,494.0,0.398,7.8,18854.0,0,Medium,0.5136,0
A00116,37,Male,Asian,68972.0,837.0,0.179,13.4,21596.0,0,Low,0.1186,1
A00117,64,Male,Asian,58613.0,750.0,0.247,1.5,17466.0,1,Medium,0.3651,1
A00118,30,Male,White,64113.0,595.0,0.272,11.6,2094.0,2,Low,0.4603,1
A00119,30,Female,White,40592.0,694.0,0.532,7.9,21206.0,2,Low,0.4558,1
A00120,58,Male,White,23531.0,701.0,0.382,4.2,17423.0,0,Low,0.3279,1
A00121,37,Male,White,60404.0,689.0,0.247,12.0,16619.0,0,High,0.2391,1
A00122,46,Male,Asian,32989.0,587.0,0.32,1.2,23737.0,0,Low,0.3791,1
A00123,46,Female,White,68011.0,708.0,0.548,8.7,23531.0,0,Medium,0.3433,1
A00124,54,Male,White,32709.0,785.0,0.442,5.3,29937.0,1,Low,0.3751,1
A00125,24,Male,Hispanic,51263.0,525.0,0.506,10.5,23913.0,0,Low,0.4731,1
A00126,47,Female,White,97899.0,636.0,0.183,7.3,14160.0,0,Low,0.3393,1
A00127,41,Male,Black,60458.0,576.0,0.319,10.4,31234.0,1,High,0.6756,0
A00128,56,Male,White,35003.0,611.0,0.254,6.2,33038.0,1,Low,0.4202,1
A00129,58,Female,White,67477.0,714.0,0.575,4.3,17790.0,0,Low,0.4474,1
A00130,66,Male,White,51454.0,563.0,0.329,5.7,30492.0,1,Low,0.5261,0
A00131,51,Male,Black,35284.0,836.0,0.264,6.7,19634.0,0,Low,0.3003,1
A00132,27,Female,Hispanic,55609.0,686.0,0.05,7.4,29496.0,0,High,0.482,1
A00133,64,Male,Hispanic,86005.0,645.0,0.562,8.7,31236.0,2,High,0.6497,0
A00134,54,Male,Black,70100.0,509.0,0.569,6.1,11671.0,1,Low,0.6112,0
A00135,38,Female,Hispanic,50450.0,693.0,0.05,8.7,31999.0,0,Low,0.3325,1
A00136,44,Female,White,24680.0,685.0,0.382,14.9,18453.0,0,Medium,0.2361,1
A00137,33,Female,Asian,73358.0,561.0,0.492,3.1,21899.0,0,Low,0.502,0
A00138,33,Male,White,66949.0,591.0,0.422,10.0,29120.0,0,High,0.5327,0
A00139,45,Male,White,15000.0,835.0,0.285,3.3,15426.0,1,Low,0.2486,1
A00140,25,Female,White,17963.0,645.0,0.208,2.2,27921.0,0,Medium,0.3521,1
A00141,59,Male,White,94318.0,684.0,0.525,11.7,19669.0,0,Low,0.351,1
A00142,49,Male,Asian,63002.0,730.0,0.466,2.4,13457.0,0,High,0.3838,1
A00143,64,Female,White,20191.0,666.0,0.446,5.9,24434.0,2,Low,0.6227,0
A00144,66,Male,White,83422.0,802.0,0.526,2.8,30526.0,0,Low,0.3085,1
A00145,53,Male,Black,85413.0,614.0,0.678,15.7,19055.0,1,Medium,0.5993,0
A00146,44,Male,White,37255.0,642.0,0.301,5.9,7864.0,0,Low,0.3456,1
A00147,30,Female,Asian,31934.0,643.0,0.301,1.6,14778.0,0,Low,0.4469,1
A00148,45,Male,Asian,56988.0,609.0,0.289,2.5,10933.0,1,Low,0.412,1
A00149,61,Male,White,59003.0,601.0,0.212,14.5,40751.0,0,High,0.4059,1
A00150,30,Male,White,51045.0,683.0,0.529,5.1,9260.0,0,Low,0.3605,1
A00151,59,Female,White,28186.0,801.0,0.552,5.7,1000.0,0,Low,0.3191,1
A00152,36,Female,Black,46207.0,574.0,0.51,11.9,14151.0,1,High,0.6105,0
A00153,48,Male,White,44392.0,663.0,0.6,11.1,19864.0,1,High,0.4856,1
A00154,32,Female,Black,17802.0,749.0,0.365,2.5,18329.0,1,Medium,0.5558,0
A00155,64,Male,Hispanic,79789.0,850.0,0.406,2.8,19799.0,0,Medium,0.3404,1
A00156,52,Male,White,28465.0,765.0,0.448,3.8,5203.0,1,High,0.3703,1
A00157,49,Female,White,87650.0,661.0,0.287,4.7,18616.0,0,Low,0.3896,1
A00158,65,Female,White,58834.0,630.0,0.189,9.3,8095.0,0,Medium,0.3848,1
A00159,47,Male,Hispanic,38950.0,782.0,0.372,5.7,27053.0,0,Low,0.3106,1
A00160,46,Female,White,64690.0,759.0,0.28,4.8,6568.0,1,Low,0.3884,1
A00161,23,Male,White,51676.0,681.0,0.675,6.0,17137.0,0,Low,0.4175,1
A00162,46,Non-binary,White,88105.0,661.0,0.127,3.7,10054.0,0,Medium,0.2284,1
A00163,59,Female,Black,108025.0,850.0,0.341,12.2,27525.0,0,High,0.3478,1
A00164,21,Non-binary,White,64813.0,848.0,0.393,3.2,13298.0,1,Medium,0.2927,1
A00165,55,Male,Other,50531.0,715.0,0.226,6.1,7498.0,0,Medium,0.2647,1
A00166,47,Male,Hispanic,95071.0,699.0,0.281,8.5,28545.0,1,Medium,0.4163,1
A00167,66,Female,Hispanic,49881.0,577.0,0.359,8.7,1000.0,2,Medium,0.6096,0
A00168,24,Female,Asian,41830.0,684.0,0.176,4.4,24922.0,1,Medium,0.4178,1
A00169,39,Female,Hispanic,85764.0,789.0,0.411,10.4,21369.0,0,Medium,0.2867,1
A00170,42,Male,Hispanic,75989.0,506.0,0.587,14.6,43225.0,1,Low,0.5108,0
A00171,26,Female,White,42148.0,734.0,0.293,13.2,24507.0,0,Medium,0.2808,1
A00172,29,Female,Black,62873.0,742.0,0.465,0.0,23006.0,0,Low,0.471,1
A00173,31,Female,White,46403.0,742.0,0.606,5.7,9484.0,1,Medium,0.444,1
A00174,42,Male,White,70106.0,621.0,0.501,3.4,15806.0,0,High,0.4252,1
A00175,67,Female,White,67609.0,651.0,0.241,8.2,20621.0,1,Low,0.4708,1
A00176,29,Female,Black,23044.0,624.0,0.119,10.2,32221.0,2,Low,0.5711,0
A00177,49,Male,Black,56035.0,850.0,0.303,1.4,10309.0,2,High,0.537,0
A00178,63,Female,Black,17909.0,820.0,0.359,9.5,1000.0,0,High,0.4009,1
A00179,30,Male,Hispanic,19433.0,714.0,0.05,5.9,18723.0,2,Low,0.485,1
A00180,54,Female,White,42660.0,683.0,0.354,5.0,2066.0,0,Low,0.3715,1
A00181,51,Female,White,40078.0,679.0,0.226,8.1,26095.0,0,Low,0.3049,1
A00182,42,Male,White,15000.0,652.0,0.332,5.4,33164.0,1,Medium,0.4445,1
A00183,66,Female,White,25335.0,511.0,0.303,10.5,28308.0,2,High,0.7366,0
A00184,24,Female,Black,16464.0,684.0,0.319,4.4,12965.0,0,Low,0.4219,1
A00185,22,Female,Hispanic,36471.0,850.0,0.463,11.3,34204.0,2,Medium,0.4286,1
A00186,25,Male,White,68155.0,706.0,0.2,5.9,10321.0,2,High,0.5101,0
A00187,66,Male,Hispanic,91917.0,624.0,0.076,0.0,8174.0,1,Low,0.4708,1
A00188,35,Female,Asian,81444.0,703.0,0.474,2.8,32296.0,0,Low,0.4205,1
A00189,39,Male,White,65849.0,660.0,0.447,5.6,14445.0,1,High,0.4829,1
A00190,58,Male,Hispanic,64436.0,590.0,0.431,7.5,19591.0,0,Medium,0.4601,1
A00191,35,Male,White,52353.0,579.0,0.217,5.6,28146.0,0,Low,0.4207,1
A00192,66,Male,Hispanic,52502.0,683.0,0.442,3.2,7005.0,2,Medium,0.545,0
A00193,28,Female,White,89614.0,548.0,0.158,13.1,12656.0,0,High,0.4552,1
A00194,40,Female,Hispanic,70463.0,682.0,0.305,11.6,12123.0,0,Low,0.4393,1
A00195,32,Female,White,59982.0,672.0,0.578,1.2,15669.0,0,Low,0.4314,1
A00196,24,Female,Asian,15000.0,745.0,0.44,2.6,10895.0,0,Low,0.4598,1
A00197,58,Female,Black,73211.0,666.0,0.339,7.3,21719.0,0,High,0.5817,0
A00198,63,Male,White,73533.0,585.0,0.328,5.4,21593.0,2,Low,0.5288,0
A00199,59,Female,Black,39503.0,694.0,0.185,0.0,18012.0,2,Low,0.6617,0
A00200,56,Male,Hispanic,60659.0,774.0,0.593,3.1,20289.0,0,Low,0.3681,1
A00201,35,Female,Black,51659.0,632.0,0.502,8.9,11453.0,0,High,0.6336,0
A00202,21,Male,Other,41544.0,825.0,0.47,6.4,18211.0,0,Low,0.2518,1
A00203,51,Male,Asian,65256.0,690.0,0.336,2.3,1149.0,0,Medium,0.3303,1
A00204,29,Male,Black,27977.0,648.0,0.295,3.8,27900.0,2,Low,0.6107,0
A00205,43,Male,White,105972.0,624.0,0.236,5.1,12391.0,0,Medium,0.3235,1
A00206,46,Male,White,68281.0,698.0,0.565,16.2,12820.0,0,Medium,0.3207,1
A00207,60,Male,Other,52256.0,672.0,0.078,6.1,8654.0,1,Low,0.386,1
A00208,64,Male,Asian,78972.0,564.0,0.435,3.1,19400.0,0,Low,0.4433,1
A00209,59,Male,White,74593.0,823.0,0.114,13.2,12662.0,0,Low,0.1582,1
A00210,38,Male,Black,36380.0,650.0,0.32,8.3,24296.0,1,Low,0.5228,0
A00211,53,Male,Hispanic,42372.0,822.0,0.346,2.8,7501.0,0,Medium,0.2427,1
A00212,61,Female,Black,15000.0,582.0,0.158,6.1,19382.0,1,Low,0.5464,0
A00213,59,Female,Asian,28197.0,767.0,0.222,5.2,22256.0,0,Medium,0.3533,1
A00214,34,Female,White,71672.0,802.0,0.459,8.2,25969.0,1,Low,0.3839,1
A00215,21,Female,Asian,59582.0,795.0,0.572,1.0,24667.0,0,Low,0.4046,1
A00216,33,Female,White,42669.0,716.0,0.397,1.2,8930.0,0,Low,0.2991,1
A00217,35,Female,Black,63676.0,770.0,0.247,5.0,18680.0,0,Low,0.3745,1
A00218,57,Male,White,41703.0,722.0,0.205,2.5,16959.0,0,Low,0.2861,1
A00219,25,Female,Black,18729.0,587.0,0.239,10.1,7523.0,0,Medium,0.4408,1
A00220,34,Male,Black,31331.0,717.0,0.347,1.9,17734.0,0,Low,0.3911,1
A00221,34,Female,Hispanic,112376.0,582.0,0.389,15.6,4060.0,0,High,0.5274,0
A00222,66,Female,Black,51201.0,570.0,0.534,5.4,20352.0,1,High,0.6548,0
A00223,25,Female,Hispanic,52640.0,705.0,0.339,6.5,30060.0,0,High,0.4699,1
A00224,31,Male,White,68082.0,627.0,0.251,7.4,27987.0,0,High,0.3863,1
A00225,52,Non-binary,Asian,79471.0,823.0,0.181,5.7,21914.0,0,High,0.2231,1
A00226,25,Non-binary,White,49352.0,832.0,0.319,10.7,20585.0,1,Low,0.2826,1
A00227,56,Male,Black,82736.0,850.0,0.103,6.6,16852.0,0,Low,0.2015,1
A00228,35,Female,White,49496.0,557.0,0.259,3.9,39604.0,0,Medium,0.4928,1
A00229,27,Male,White,54736.0,578.0,0.161,0.5,15860.0,0,Low,0.3934,1
A00230,25,Male,White,42951.0,758.0,0.311,7.6,4833.0,0,High,0.3081,1
A00231,50,Male,Asian,74221.0,652.0,0.418,9.7,25630.0,0,Low,0.3823,1
A00232,35,Female,White,20457.0,615.0,0.407,0.9,22610.0,1,Medium,0.4404,1
A00233,50,Male,White,60724.0,646.0,0.453,4.5,6959.0,1,Medium,0.4958,1
A00234,34,Male,Hispanic,69806.0,673.0,0.211,9.9,14030.0,0,High,0.3892,1
A00235,44,Male,White,80630.0,740.0,0.563,2.6,19691.0,0,Medium,0.384,1
A00236,44,Male,Hispanic,68657.0,517.0,0.45,2.6,12354.0,0,Low,0.4721,1
A00237,55,Male,Asian,32001.0,717.0,0.444,5.4,27175.0,0,Low,0.2964,1
A00238,25,Male,Hispanic,69427.0,663.0,0.519,11.3,10220.0,0,High,0.4658,1
A00239,32,Male,White,73502.0,609.0,0.376,9.7,15486.0,0,High,0.4481,1
A00240,40,Male,White,71227.0,805.0,0.333,11.3,13788.0,0,High,0.2255,1
A00241,66,Male,White,49015.0,641.0,0.552,2.0,22506.0,0,Medium,0.4495,1
A00242,25,Female,White,51187.0,649.0,0.225,3.4,24327.0,0,Low,0.4196,1
A00243,56,Non-binary,White,79895.0,655.0,0.318,5.3,22491.0,2,Medium,0.5285,0
A00244,41,Male,Asian,55052.0,821.0,0.524,4.8,1000.0,0,High,0.3172,1
A00245,68,Male,Black,31149.0,690.0,0.319,2.9,19631.0,0,Low,0.4203,1
A00246,59,Female,White,44765.0,674.0,0.262,7.9,22773.0,0,Medium,0.426,1
A00247,23,Female,White,92287.0,760.0,0.208,0.0,23922.0,0,Low,0.3105,1
A00248,49,Female,Black,21408.0,479.0,0.386,6.6,16225.0,0,Medium,0.6058,0
A00249,45,Male,White,87507.0,698.0,0.286,12.6,18236.0,0,Medium,0.292,1
A00250,47,Male,Asian,55603.0,700.0,0.423,6.3,12313.0,0,Medium,0.2668,1
A00251,56,Female,White,21860.0,754.0,0.596,2.7,30780.0,1,Low,0.4325,1
A00252,42,Female,Asian,74804.0,706.0,0.511,0.9,4585.0,1,Low,0.4697,1
A00253,58,Male,Hispanic,37210.0,578.0,0.05,7.4,22516.0,0,Medium,0.3243,1
A00254,55,Male,Other,57345.0,531.0,0.458,12.9,8049.0,0,High,0.3593,1
A00255,21,Female,White,15000.0,737.0,0.468,6.9,13204.0,1,Low,0.5528,0
A00256,23,Male,White,88633.0,636.0,0.305,4.7,17607.0,2,Low,0.468,1
A00257,44,Female,Black,47647.0,650.0,0.537,2.9,1000.0,0,Medium,0.5188,0
A00258,28,Male,Asian,39664.0,603.0,0.394,0.1,4068.0,1,Low,0.4775,1
A00259,68,Male,Hispanic,59784.0,681.0,0.058,7.1,1987.0,0,Low,0.3804,1
A00260,59,Male,Black,77134.0,673.0,0.371,0.0,22260.0,1,Medium,0.5992,0
A00261,38,Female,White,50279.0,570.0,0.309,9.7,28236.0,0,Medium,0.4569,1
A00262,61,Male,White,76344.0,749.0,0.256,8.5,2041.0,0,Low,0.1701,1
A00263,23,Male,White,54356.0,616.0,0.404,5.1,16220.0,0,High,0.506,0
A00264,38,Male,Black,57204.0,808.0,0.448,8.6,20745.0,0,Low,0.2826,1
A00265,36,Non-binary,White,34982.0,699.0,0.45,6.7,20703.0,0,Low,0.3843,1
A00266,52,Non-binary,White,81417.0,672.0,0.455,8.6,38086.0,0,Medium,0.3431,1
A00267,21,Female,Black,71759.0,544.0,0.177,9.6,19536.0,0,Medium,0.4588,1
A00268,46,Non-binary,Asian,68725.0,729.0,0.191,5.0,8719.0,0,High,0.4096,1
A00269,68,Male,Hispanic,81672.0,676.0,0.39,0.8,25488.0,1,Low,0.5174,0
A00270,32,Non-binary,Hispanic,28768.0,695.0,0.512,15.0,33913.0,2,Low,0.5084,0
A00271,58,Male,Other,56779.0,799.0,0.403,5.1,4983.0,0,Low,0.2382,1
A00272,41,Male,White,82718.0,758.0,0.05,4.3,23341.0,0,Low,0.2503,1
A00273,61,Male,White,54123.0,780.0,0.432,7.8,18285.0,0,Medium,0.2421,1
A00274,33,Non-binary,Hispanic,58691.0,463.0,0.116,5.2,8471.0,0,Medium,0.4854,1
A00275,32,Female,White,57977.0,661.0,0.453,1.0,11615.0,1,Medium,0.4601,1
A00276,33,Female,White,66823.0,537.0,0.266,1.2,33916.0,0,High,0.4743,1
A00277,38,Non-binary,White,15000.0,722.0,0.395,2.4,25726.0,0,Medium,0.338,1
A00278,39,Female,Black,57976.0,511.0,0.666,7.4,22252.0,1,Low,0.6644,0
A00279,39,Female,White,64924.0,775.0,0.297,3.2,3081.0,0,Low,0.2927,1
A00280,26,Male,White,64818.0,821.0,0.237,9.7,24743.0,1,Medium,0.2807,1
A00281,68,Female,White,95005.0,663.0,0.285,5.4,29163.0,0,Medium,0.4283,1
A00282,27,Non-binary,White,40379.0,711.0,0.125,5.7,4341.0,0,Medium,0.2718,1
A00283,27,Non-binary,Asian,96195.0,820.0,0.199,6.2,18217.0,0,Medium,0.1317,1
A00284,48,Male,Other,45931.0,850.0,0.51,1.8,28081.0,1,Low,0.3687,1
A00285,48,Male,Asian,21273.0,832.0,0.054,11.1,26733.0,1,Low,0.2241,1
A00286,39,Male,Other,92638.0,728.0,0.256,7.2,24400.0,0,High,0.3363,1
A00287,36,Male,White,81317.0,825.0,0.386,5.3,18444.0,0,High,0.2395,1
A00288,37,Male,Asian,58402.0,593.0,0.289,3.9,28857.0,0,High,0.3391,1
A00289,42,Female,White,40363.0,618.0,0.552,3.8,19613.0,0,High,0.5857,0
A00290,39,Female,Hispanic,49783.0,764.0,0.325,1.4,23525.0,2,Low,0.5374,0
A00291,68,Female,White,61386.0,682.0,0.299,0.7,21433.0,2,Low,0.5551,0
A00292,49,Male,Hispanic,89692.0,741.0,0.372,0.7,7369.0,1,High,0.4616,1
A00293,68,Male,White,22095.0,762.0,0.391,10.3,8784.0,0,High,0.2517,1
A00294,39,Male,White,49742.0,764.0,0.35,2.9,3480.0,0,Low,0.2449,1
A00295,67,Male,Hispanic,48416.0,513.0,0.339,1.7,14176.0,0,Low,0.4598,1
A00296,55,Male,Hispanic,42885.0,741.0,0.057,11.2,26118.0,0,Low,0.2981,1
A00297,67,Male,Black,38805.0,623.0,0.18,6.2,21390.0,0,Medium,0.423,1
A00298,45,Non-binary,Hispanic,95181.0,703.0,0.437,1.3,17675.0,0,Medium,0.434,1
