case_id,age,gender,race,prior_offenses,charge_severity,employed,education_level,community_ties,ai_recidivism_score,ai_recommends_detention
J00042,44,Male,White,1,High,0,No HS,1,0.6659,1
J00043,59,Male,White,0,Low,1,College+,1,0.1421,0
J00044,38,Male,White,1,Medium,1,No HS,0,0.5274,0
J00045,41,Male,White,1,Medium,0,HS Diploma,0,0.5495,0
J00046,46,Male,Other,2,High,0,HS Diploma,0,0.6812,1
J00047,44,Male,Hispanic,1,Low,0,HS Diploma,0,0.6403,1
J00048,55,Male,Hispanic,0,High,1,College+,1,0.3718,0
J00049,19,Male,Hispanic,1,Medium,0,Some College,1,0.4674,0
J00050,42,Male,Hispanic,1,Low,1,HS Diploma,1,0.2208,0
J00051,19,Male,White,2,High,1,Some College,0,0.6319,1
J00052,55,Male,White,3,Low,1,HS Diploma,0,0.5233,0
J00053,35,Male,White,3,Low,1,College+,1,0.3833,0
J00054,59,Male,Hispanic,1,High,1,HS Diploma,1,0.5175,0
J00055,24,Female,Hispanic,1,High,0,Some College,1,0.5441,0
J00056,21,Female,White,2,Low,1,College+,1,0.195,0
J00057,61,Female,Asian,0,High,1,College+,0,0.3415,0
J00058,57,Male,White,2,Low,0,College+,1,0.407,0
J00059,58,Male,Black,1,Medium,0,College+,1,0.4575,0
J00060,27,Male,Black,0,Low,1,HS Diploma,1,0.2747,0
J00061,58,Male,White,2,Low,0,Some College,1,0.4823,0
J00062,45,Male,Hispanic,1,High,1,No HS,1,0.5603,1
J00063,47,Female,Black,0,High,0,Some College,1,0.5498,0
J00064,41,Male,Black,1,Medium,0,No HS,1,0.6527,1
J00065,53,Male,Black,1,High,1,HS Diploma,1,0.577,1
J00066,33,Male,Hispanic,1,Medium,0,Some College,0,0.629,1
J00067,50,Male,Black,1,High,1,No HS,0,0.6522,1
J00068,27,Male,White,0,Low,1,HS Diploma,1,0.1317,0
J00069,38,Female,Hispanic,0,Medium,1,No HS,0,0.5186,0
J00070,44,Male,Black,2,Medium,1,Some College,1,0.4267,0
J00071,38,Male,White,4,High,1,HS Diploma,1,0.6545,1
J00072,44,Male,Black,3,Low,0,College+,0,0.6726,1
J00073,49,Male,Black,1,High,0,HS Diploma,1,0.6552,1
J00074,22,Male,Hispanic,1,Medium,0,HS Diploma,1,0.5941,1
J00075,52,Male,White,3,Medium,1,HS Diploma,0,0.5913,1
J00076,39,Male,Black,1,Low,1,College+,1,0.2127,0
J00077,53,Male,White,0,Medium,0,HS Diploma,1,0.427,0
J00078,27,Male,Asian,1,Medium,1,No HS,1,0.3932,0
J00079,51,Male,Black,1,Medium,1,Some College,1,0.4111,0
J00080,23,Female,Hispanic,2,Medium,1,College+,0,0.5321,0
J00081,31,Female,Hispanic,2,Medium,1,Some College,0,0.4651,0
J00082,54,Male,White,3,High,1,HS Diploma,0,0.6386,1
J00083,36,Female,Hispanic,0,Low,1,Some College,1,0.2869,0
J00084,49,Female,Black,1,Medium,1,College+,0,0.3639,0
J00085,37,Male,White,2,Medium,1,Some College,1,0.4506,0
J00086,38,Male,Hispanic,1,High,1,HS Diploma,0,0.6817,1
J00087,32,Male,Hispanic,1,Medium,1,HS Diploma,0,0.4862,0
J00088,34,Male,Hispanic,2,High,0,College+,1,0.6924,1
J00089,61,Female,Black,1,High,1,College+,0,0.4677,0
J00090,62,Male,White,1,Low,1,HS Diploma,1,0.2871,0
J00091,41,Male,Hispanic,0,Medium,1,HS Diploma,0,0.4635,0
J00092,38,Male,White,2,High,1,College+,0,0.4934,0
J00093,32,Male,Black,2,High,1,College+,0,0.6761,1
J00094,28,Female,White,2,Low,1,HS Diploma,1,0.3378,0
J00095,54,Male,Hispanic,0,Medium,0,HS Diploma,1,0.5446,0
J00096,47,Female,Other,1,Low,1,HS Diploma,1,0.2341,0
J00097,35,Male,Black,0,High,0,College+,1,0.4307,0
J00098,45,Female,Black,0,Low,0,Some College,0,0.4595,0
J00099,30,Female,Asian,1,Low,0,Some College,0,0.4298,0
J00100,60,Female,Hispanic,0,Medium,0,HS Diploma,0,0.5804,1
J00101,27,Male,Other,0,Low,1,No HS,0,0.2999,0
J00102,64,Female,White,2,High,1,No HS,0,0.7325,1
J00103,56,Male,Black,4,Low,1,College+,0,0.6087,1
J00104,29,Male,Black,0,Medium,0,HS Diploma,0,0.6656,1
J00105,55,Male,Black,0,Low,1,Some College,0,0.2727,0
J00106,58,Female,Asian,3,High,1,College+,0,0.5619,1
J00107,57,Male,White,3,Medium,0,Some College,0,0.7756,1
J00108,43,Female,Asian,1,Low,1,HS Diploma,1,0.1926,0
J00109,61,Male,Black,0,Low,1,No HS,1,0.2873,0
J00110,36,Male,Black,0,Medium,0,HS Diploma,1,0.5063,0
J00111,40,Male,Black,3,High,1,HS Diploma,1,0.7206,1
J00112,53,Male,Black,3,High,1,Some College,1,0.6257,1
J00113,44,Male,Hispanic,2,High,0,Some College,1,0.6796,1
J00114,33,Male,Black,3,Medium,1,Some College,0,0.644,1
J00115,24,Male,Hispanic,0,High,1,College+,0,0.433,0
J00116,30,Female,Black,0,Medium,1,No HS,0,0.4983,0
J00117,29,Male,White,0,Medium,0,Some College,0,0.422,0
J00118,44,Male,Black,0,Medium,1,HS Diploma,0,0.4064,0
J00119,50,Male,Hispanic,2,Low,0,College+,0,0.5848,1
J00120,48,Male,Hispanic,3,Low,1,HS Diploma,1,0.4525,0
J00121,28,Female,Hispanic,0,High,1,Some College,1,0.3877,0
J00122,34,Female,White,1,High,1,HS Diploma,0,0.4835,0
J00123,55,Male,Black,1,Low,1,HS Diploma,1,0.376,0
J00124,19,Male,White,0,Low,0,Some College,0,0.4231,0
J00125,20,Male,Hispanic,2,High,0,College+,0,0.7273,1
J00126,51,Male,Black,1,Low,0,No HS,1,0.5631,1
J00127,49,Male,Hispanic,1,High,1,College+,1,0.4232,0
J00128,41,Male,White,0,High,0,HS Diploma,1,0.4751,0
J00129,41,Male,White,1,High,1,No HS,1,0.5426,0
J00130,30,Female,Hispanic,2,High,1,Some College,0,0.5769,1
J00131,39,Female,White,0,High,1,No HS,0,0.449,0
J00132,36,Male,Black,0,High,0,Some College,1,0.5707,1
J00133,47,Male,Hispanic,1,High,1,HS Diploma,0,0.6528,1
J00134,56,Female,White,1,Medium,0,No HS,1,0.5065,0
J00135,38,Male,White,0,Low,0,No HS,1,0.3937,0
J00136,40,Female,Hispanic,0,Medium,0,Some College,1,0.4018,0
J00137,33,Male,Other,0,High,0,College+,1,0.4256,0
J00138,59,Male,Hispanic,3,High,0,Some College,1,0.7268,1
J00139,24,Male,White,0,Medium,0,Some College,1,0.3803,0
J00140,37,Female,Hispanic,0,Medium,0,College+,0,0.4449,0
J00141,59,Female,Black,2,High,0,HS Diploma,0,0.7598,1
J00142,31,Male,Hispanic,2,Low,1,No HS,0,0.5504,1
J00143,43,Male,White,1,Low,1,HS Diploma,1,0.2532,0
J00144,39,Male,White,2,Low,0,College+,1,0.4023,0
J00145,58,Male,Asian,1,High,0,HS Diploma,1,0.5419,0
J00146,53,Female,Asian,0,Low,1,College+,1,0.0947,0
J00147,43,Male,White,1,Low,0,Some College,1,0.4206,0
J00148,29,Female,White,1,Low,1,Some College,1,0.1825,0
J00149,48,Female,Asian,0,Medium,1,HS Diploma,0,0.3132,0
J00150,57,Male,White,0,High,0,HS Diploma,1,0.5259,0
J00151,21,Female,White,3,Medium,1,Some College,1,0.4203,0
J00152,57,Male,White,0,Low,1,Some College,1,0.1241,0
J00153,44,Male,White,0,Medium,0,College+,1,0.3608,0
J00154,26,Male,White,3,Medium,1,HS Diploma,0,0.5635,1
J00155,29,Female,Other,0,Medium,1,Some College,0,0.2384,0
J00156,46,Male,White,0,High,1,No HS,0,0.5162,0
J00157,45,Female,White,2,Medium,0,HS Diploma,1,0.5328,0
J00158,33,Female,Black,0,Medium,1,Some College,0,0.3656,0
J00159,25,Male,Black,1,Low,1,College+,1,0.3033,0
J00160,64,Male,Black,2,Medium,1,College+,1,0.4219,0
J00161,30,Male,Asian,0,Low,0,HS Diploma,0,0.4909,0
J00162,31,Female,White,0,Low,0,Some College,0,0.3958,0
J00163,32,Male,Asian,1,Medium,0,Some College,0,0.4865,0
J00164,26,Male,Hispanic,2,Low,0,Some College,0,0.5917,1
J00165,61,Female,Hispanic,1,High,1,Some College,1,0.3871,0
J00166,49,Male,White,0,Medium,0,Some College,0,0.4967,0
J00167,39,Male,White,0,High,0,College+,0,0.5639,1
J00168,42,Male,White,0,Medium,1,Some College,1,0.2519,0
J00169,58,Female,Hispanic,2,Low,1,No HS,1,0.3661,0
J00170,43,Male,White,0,Medium,0,College+,0,0.4246,0
J00171,62,Male,Black,3,Low,0,HS Diploma,1,0.695,1
J00172,46,Male,Hispanic,0,High,0,College+,1,0.5097,0
J00173,35,Male,Black,0,High,1,HS Diploma,1,0.3578,0
J00174,53,Male,White,1,Medium,0,College+,0,0.5837,1
J00175,37,Male,White,0,High,0,Some College,0,0.5762,1
J00176,50,Male,Hispanic,1,Low,1,HS Diploma,1,0.3408,0
J00177,37,Female,White,3,Medium,0,College+,1,0.5201,0
J00178,20,Female,White,3,Medium,0,Some College,1,0.5387,0
J00179,60,Female,White,0,Low,1,College+,1,0.0,0
J00180,51,Male,Hispanic,0,High,0,College+,1,0.4763,0
J00181,23,Female,Black,3,Medium,0,No HS,0,0.869,1
J00182,48,Male,Black,2,Medium,1,HS Diploma,1,0.497,0
J00183,52,Male,Hispanic,0,Medium,1,HS Diploma,0,0.4399,0
J00184,49,Male,Black,2,Low,1,College+,0,0.4293,0
J00185,59,Male,Hispanic,2,High,0,No HS,0,0.8746,1
J00186,26,Male,Hispanic,0,Medium,0,HS Diploma,1,0.4924,0
J00187,63,Female,Black,3,Low,0,Some College,1,0.5675,1
J00188,44,Male,White,0,Low,1,Some College,0,0.2332,0
J00189,41,Male,White,1,Low,1,No HS,0,0.4489,0
J00190,39,Male,Hispanic,1,Low,0,College+,0,0.4914,0
J00191,47,Male,White,0,Low,1,No HS,1,0.2157,0
J00192,53,Female,Black,1,High,1,HS Diploma,1,0.4841,0
J00193,43,Male,White,2,Medium,0,Some College,0,0.6091,1
J00194,19,Male,White,0,Medium,1,HS Diploma,0,0.3268,0
J00195,59,Male,White,0,Low,1,No HS,1,0.3291,0
J00196,61,Male,White,1,Low,1,College+,0,0.2578,0
J00197,24,Male,White,3,Low,1,No HS,0,0.5855,1
J00198,44,Male,Black,3,High,1,No HS,1,0.7299,1
J00199,33,Female,Hispanic,0,Medium,1,College+,1,0.2531,0
J00200,63,Female,White,1,Low,1,HS Diploma,0,0.3763,0
J00201,46,Male,Black,0,High,1,College+,1,0.3948,0
J00202,38,Male,White,0,Low,0,No HS,0,0.5313,0
J00203,43,Male,White,1,Medium,1,No HS,0,0.4348,0
J00204,35,Male,White,0,High,1,HS Diploma,1,0.4139,0
J00205,18,Male,White,3,Low,0,Some College,1,0.5526,1
J00206,19,Male,Hispanic,2,High,0,Some College,1,0.6579,1
J00207,31,Male,Black,1,High,0,HS Diploma,0,0.7558,1
J00208,55,Female,Hispanic,1,Medium,0,Some College,1,0.4637,0
J00209,32,Male,Black,3,High,1,Some College,1,0.725,1
J00210,53,Male,Hispanic,0,Low,1,Some College,1,0.199,0
J00211,41,Male,White,0,Low,1,College+,0,0.1818,0
J00212,42,Male,Hispanic,0,Low,1,College+,0,0.2421,0
J00213,26,Female,Black,0,Medium,1,College+,1,0.1584,0
J00214,32,Male,Hispanic,4,Low,1,HS Diploma,1,0.5796,1
J00215,54,Male,White,0,Medium,1,Some College,1,0.2558,0
J00216,23,Male,Black,0,Low,1,HS Diploma,0,0.2632,0
J00217,60,Male,Hispanic,2,Low,0,HS Diploma,0,0.7089,1
J00218,62,Male,Black,2,Low,0,Some College,1,0.5326,0
J00219,29,Male,Black,1,Low,0,College+,1,0.3996,0
J00220,44,Male,Hispanic,0,High,0,HS Diploma,0,0.612,1
J00221,24,Female,White,0,Medium,0,HS Diploma,1,0.323,0
J00222,45,Male,Black,4,Medium,1,College+,1,0.5913,1
J00223,29,Male,Hispanic,0,Medium,1,HS Diploma,1,0.3619,0
J00224,59,Male,Hispanic,2,Medium,1,Some College,1,0.3924,0
J00225,52,Female,White,3,Low,1,No HS,1,0.3604,0
J00226,19,Female,Hispanic,1,Low,1,HS Diploma,1,0.275,0
J00227,43,Male,White,2,Medium,0,HS Diploma,0,0.6236,1
J00228,37,Female,Hispanic,0,Medium,1,No HS,1,0.348,0
J00229,42,Female,White,3,Low,1,Some College,1,0.3723,0
J00230,38,Female,Black,1,Medium,1,HS Diploma,1,0.3491,0
J00231,18,Female,White,0,High,0,HS Diploma,1,0.4926,0
J00232,45,Male,Hispanic,2,Medium,1,College+,0,0.5411,0
J00233,55,Female,Black,3,Medium,0,HS Diploma,1,0.6965,1
J00234,30,Female,Hispanic,1,Low,1,HS Diploma,1,0.3038,0
J00235,47,Male,Black,2,Medium,1,College+,0,0.495,0
J00236,27,Female,Hispanic,2,Medium,1,No HS,0,0.647,1
J00237,62,Male,Black,2,High,1,College+,0,0.6443,1
J00238,39,Female,Hispanic,1,Low,0,HS Diploma,0,0.4947,0
J00239,46,Male,Hispanic,2,Low,0,College+,0,0.6414,1
J00240,22,Male,White,1,High,1,HS Diploma,1,0.3501,0
J00241,25,Female,Black,1,Medium,0,HS Diploma,0,0.6842,1
J00242,28,Male,Hispanic,0,Medium,1,HS Diploma,0,0.3766,0
J00243,43,Male,Hispanic,3,High,1,College+,1,0.5719,1
J00244,36,Male,Black,1,Low,1,Some College,1,0.3633,0
J00245,36,Female,White,0,Medium,1,HS Diploma,1,0.1706,0
J00246,47,Male,Hispanic,0,Low,1,Some College,1,0.2248,0
J00247,53,Female,Hispanic,0,Medium,0,College+,0,0.3759,0
J00248,59,Female,White,0,High,0,HS Diploma,1,0.4635,0
J00249,26,Male,White,1,Low,0,HS Diploma,1,0.4724,0
J00250,24,Male,Hispanic,3,Low,0,Some College,1,0.5766,1
J00251,35,Male,Black,0,High,0,College+,1,0.562,1
J00252,26,Male,Hispanic,4,Low,1,HS Diploma,1,0.5827,1
J00253,23,Male,Hispanic,0,Low,1,Some College,0,0.2584,0
J00254,23,Male,Hispanic,2,Low,1,No HS,1,0.4006,0
J00255,62,Female,Hispanic,2,High,0,Some College,1,0.6709,1
J00256,39,Female,Black,2,High,1,HS Diploma,0,0.6819,1
J00257,34,Male,White,0,High,0,HS Diploma,1,0.4771,0
J00258,32,Male,Black,2,High,1,Some College,1,0.5522,1
J00259,26,Male,Other,1,High,1,Some College,1,0.409,0
J00260,23,Female,White,0,High,1,HS Diploma,0,0.3978,0
J00261,40,Male,Black,0,Medium,1,College+,1,0.3124,0
J00262,34,Male,Hispanic,0,Medium,1,College+,1,0.2448,0
J00263,49,Male,White,0,Medium,0,Some College,1,0.367,0
J00264,49,Male,Hispanic,2,Medium,0,No HS,1,0.6692,1
J00265,54,Male,White,4,High,1,College+,0,0.7038,1
J00266,20,Male,White,0,High,0,Some College,1,0.4705,0
J00267,33,Male,Black,0,Low,1,HS Diploma,0,0.3048,0
J00268,19,Male,White,0,Low,1,College+,1,0.1822,0
J00269,20,Male,Black,2,Low,1,College+,1,0.2623,0
J00270,58,Male,Asian,3,Medium,0,Some College,1,0.6558,1
J00271,31,Female,Black,0,Low,0,College+,1,0.275,0
J00272,31,Male,Asian,3,High,1,HS Diploma,1,0.5672,1
J00273,47,Male,Asian,0,Low,1,HS Diploma,1,0.2648,0
J00274,57,Male,White,0,Medium,0,Some College,1,0.2793,0
J00275,44,Male,Black,0,Low,1,College+,0,0.2956,0
J00276,34,Male,Other,0,Medium,1,Some College,0,0.3778,0
J00277,56,Male,White,0,Medium,0,Some College,1,0.3503,0
J00278,26,Male,Black,1,High,0,HS Diploma,1,0.6944,1
J00279,53,Male,Black,1,Medium,1,HS Diploma,1,0.4758,0
J00280,27,Female,Hispanic,0,High,1,HS Diploma,0,0.48,0
J00281,46,Male,White,0,Medium,1,HS Diploma,1,0.3201,0
J00282,21,Male,White,0,High,1,Some College,1,0.3235,0
J00283,38,Male,White,2,Medium,0,No HS,1,0.6024,1
J00284,54,Male,White,0,High,0,No HS,1,0.5933,1
J00285,19,Male,White,0,Medium,0,HS Diploma,1,0.4608,0
J00286,32,Male,Black,0,Medium,1,HS Diploma,1,0.3254,0
J00287,45,Male,Hispanic,0,Medium,0,College+,0,0.4844,0
J00288,42,Male,Black,1,Low,0,HS Diploma,0,0.5583,1
J00289,43,Female,Black,0,Medium,1,HS Diploma,0,0.3995,0
J00290,26,Female,Hispanic,0,Low,0,No HS,1,0.3987,0
J00291,47,Male,Black,2,Medium,0,College+,1,0.5852,1
J00292,26,Male,Black,4,Low,0,HS Diploma,1,0.6575,1
J00293,18,Female,Black,2,High,1,HS Diploma,1,0.5565,1
J00294,29,Female,Hispanic,4,Low,1,Some College,1,0.5005,0
J00295,62,Male,White,1,Low,1,No HS,1,0.3433,0
J00296,30,Male,Other,4,High,1,College+,0,0.7179,1
J00297,31,Female,Hispanic,1,Medium,1,Some College,1,0.3481,0
J00298,27,Male,Black,2,Medium,0,HS Diploma,0,0.785,1
J00299,34,Male,Black,4,High,1,HS Diploma,0,0.8137,1
J00300,34,Male,Hispanic,2,Medium,1,Some College,1,0.404,0
J00301,48,Male,Black,4,Medium,0,College+,1,0.7584,1
J00302,63,Male,Black,0,Low,1,Some College,1,0.1575,0
J00303,43,Female,Hispanic,0,Low,1,HS Diploma,1,0.1378,0
J00304,52,Female,Black,0,Medium,1,HS Diploma,1,0.3025,0
J00305,53,Male,Black,1,Medium,0,HS Diploma,1,0.5774,1
J00306,28,Male,White,3,Low,0,Some College,0,0.6012,1
J00307,33,Male,White,3,Low,1,Some College,1,0.3003,0
J00308,46,Female,Black,1,High,1,HS Diploma,1,0.5353,0
J00309,62,Male,White,0,Medium,1,College+,1,0.1584,0
J00310,35,Male,White,0,High,0,HS Diploma,1,0.4568,0
J00311,28,Male,Black,1,Medium,0,Some College,0,0.5317,0
J00312,28,Male,White,1,High,1,HS Diploma,1,0.4737,0
J00313,26,Female,White,0,Medium,0,HS Diploma,1,0.3712,0
J00314,42,Male,White,0,Medium,1,Some College,1,0.1893,0
J00315,49,Male,Black,2,Low,0,Some College,1,0.5731,1
J00316,51,Male,White,2,Low,0,College+,1,0.4328,0
J00317,20,Male,Hispanic,0,High,0,Some College,0,0.6406,1
J00318,31,Male,Black,1,High,0,HS Diploma,0,0.7793,1
J00319,57,Female,White,2,Medium,0,No HS,0,0.6677,1
J00320,42,Male,White,1,Low,1,Some College,1,0.2459,0
J00321,33,Male,Asian,4,High,1,No HS,1,0.6519,1
J00322,53,Male,White,0,High,0,College+,1,0.4196,0
J00323,26,Male,Hispanic,2,Low,0,HS Diploma,0,0.5901,1
J00324,21,Male,White,0,Low,0,Some College,1,0.3109,0
J00325,62,Male,White,1,Low,1,No HS,0,0.4594,0
J00326,19,Female,White,0,Medium,0,College+,1,0.2966,0
J00327,42,Female,Black,4,Medium,0,HS Diploma,1,0.7555,1
J00328,39,Male,Black,0,Low,1,HS Diploma,0,0.3192,0
J00329,22,Male,Hispanic,1,Low,1,HS Diploma,0,0.4382,0
J00330,38,Female,Asian,3,High,0,Some College,1,0.6934,1
J00331,27,Male,Black,1,Medium,0,HS Diploma,0,0.675,1
J00332,40,Female,Other,2,High,1,HS Diploma,1,0.4508,0
J00333,44,Female,White,3,High,1,No HS,0,0.6727,1
J00334,47,Male,White,0,High,1,No HS,1,0.4719,0
J00335,21,Male,Hispanic,1,Low,0,Some College,1,0.5091,0
J00336,23,Male,Black,1,Low,0,HS Diploma,1,0.5024,0
J00337,43,Male,Black,2,Medium,0,College+,0,0.672,1
J00338,27,Male,Black,0,Medium,1,Some College,0,0.4233,0
J00339,22,Male,White,1,Medium,0,Some College,1,0.4843,0
J00340,56,Female,White,0,Low,1,Some College,0,0.2439,0
J00341,54,Female,White,2,Low,1,Some College,0,0.4136,0
J00342,57,Male,White,0,Medium,1,Some College,1,0.2323,0
J00343,18,Male,White,0,Low,0,HS Diploma,1,0.4292,0
J00344,51,Male,White,2,High,0,No HS,0,0.8508,1
J00345,25,Female,Black,2,High,1,Some College,1,0.5215,0
J00346,38,Female,White,0,Low,0,HS Diploma,1,0.3499,0
J00347,48,Male,Black,1,Medium,1,College+,0,0.5506,1
J00348,64,Male,White,1,Low,0,Some College,1,0.3506,0
J00349,40,Female,White,2,Medium,0,HS Diploma,1,0.5129,0
J00350,28,Male,Asian,2,High,1,College+,0,0.5449,0
J00351,33,Male,White,0,Low,1,Some College,0,0.22,0
J00352,44,Male,Hispanic,1,Medium,0,Some College,0,0.6496,1
J00353,24,Male,Hispanic,0,High,1,HS Diploma,1,0.4098,0
J00354,41,Male,Asian,3,Low,1,College+,1,0.3162,0
J00355,49,Male,Hispanic,2,Low,1,College+,1,0.3419,0
J00356,52,Female,Hispanic,0,Medium,1,No HS,1,0.4149,0
J00357,48,Male,White,0,Medium,1,College+,0,0.24,0
J00358,64,Male,Hispanic,0,High,1,No HS,0,0.5374,0
J00359,46,Male,Black,1,Medium,0,HS Diploma,1,0.5836,1
J00360,21,Female,White,1,Medium,0,College+,0,0.4112,0
J00361,52,Female,White,4,Medium,1,College+,0,0.5199,0
J00362,28,Female,White,1,Low,0,Some College,0,0.429,0
J00363,51,Male,Black,1,Low,1,Some College,1,0.3541,0
J00364,56,Female,Hispanic,2,Medium,1,No HS,0,0.542,0
J00365,32,Male,Black,1,Low,1,HS Diploma,1,0.3455,0
J00366,31,Male,White,0,High,1,HS Diploma,1,0.3363,0
J00367,38,Male,White,3,Medium,0,No HS,0,0.7635,1
J00368,24,Male,White,1,High,1,Some College,1,0.407,0
J00369,34,Male,White,4,Low,1,HS Diploma,1,0.5087,0
J00370,59,Male,White,1,Medium,1,Some College,1,0.295,0
J00371,35,Male,Black,1,Low,1,No HS,0,0.5309,0
J00372,31,Female,Black,1,Low,1,No HS,0,0.4309,0
J00373,55,Male,White,0,Medium,1,No HS,1,0.3446,0
J00374,46,Male,Hispanic,3,Low,1,Some College,0,0.5592,1
J00375,27,Female,White,1,High,1,Some College,0,0.4855,0
J00376,34,Male,Black,1,High,1,HS Diploma,0,0.5459,0
J00377,49,Male,White,0,Low,0,Some College,1,0.3283,0
J00378,37,Male,Black,4,High,0,Some College,1,0.8836,1
J00379,34,Male,White,3,Low,0,College+,0,0.6333,1
J00380,63,Male,Hispanic,1,Medium,0,Some College,0,0.5639,1
J00381,24,Female,Black,0,Low,1,No HS,0,0.4131,0
J00382,56,Male,Black,0,High,1,HS Diploma,1,0.4401,0
J00383,61,Female,White,0,High,1,HS Diploma,1,0.2557,0
J00384,47,Male,Black,1,Medium,1,No HS,1,0.4936,0
J00385,55,Female,Asian,2,Low,1,Some College,0,0.2859,0
J00386,57,Male,White,0,High,1,College+,1,0.2742,0
J00387,58,Male,Hispanic,1,Medium,1,HS Diploma,1,0.3937,0
J00388,27,Male,White,1,Medium,0,College+,1,0.384,0
J00389,49,Male,White,0,Medium,1,HS Diploma,1,0.2744,0
J00390,43,Male,Hispanic,0,Medium,1,HS Diploma,0,0.3685,0
J00391,34,Male,Black,1,Low,1,HS Diploma,1,0.3198,0
J00392,18,Male,Hispanic,0,Medium,1,HS Diploma,0,0.4921,0
J00393,56,Male,Other,1,Medium,0,HS Diploma,0,0.5672,1
J00394,43,Male,Other,0,Medium,0,No HS,0,0.5531,1
J00395,47,Female,Asian,2,High,0,Some College,1,0.551,1
J00396,26,Female,Black,2,Low,1,Some College,1,0.391,0
J00397,61,Male,White,1,Medium,1,College+,0,0.3755,0
J00398,50,Female,White,1,Low,0,HS Diploma,1,0.3325,0
J00399,43,Male,Black,0,Medium,0,Some College,1,0.4747,0
J00400,59,Female,Black,1,Low,1,College+,1,0.277,0
J00401,27,Male,Other,2,Low,1,College+,0,0.3844,0
J00402,59,Male,Black,2,Medium,0,HS Diploma,0,0.7894,1
J00403,49,Female,White,0,High,1,No HS,1,0.4512,0
J00404,56,Female,Black,0,Medium,1,Some College,1,0.2244,0
J00405,64,Female,White,0,Low,1,College+,1,0.0898,0
J00406,59,Male,White,0,Low,0,Some College,1,0.2693,0
J00407,50,Male,Hispanic,1,High,1,College+,1,0.3875,0
J00408,44,Male,White,0,Low,1,HS Diploma,1,0.1964,0
J00409,60,Female,Hispanic,2,High,1,College+,1,0.4125,0
J00410,46,Male,White,1,Low,1,No HS,1,0.3179,0
J00411,36,Female,Black,0,Low,0,College+,0,0.462,0
J00412,35,Female,Hispanic,0,Medium,0,HS Diploma,1,0.467,0
J00413,52,Male,Hispanic,1,High,1,Some College,0,0.507,0
J00414,64,Female,Asian,1,Low,1,HS Diploma,1,0.1625,0
J00415,45,Male,White,2,Low,1,No HS,0,0.4904,0
J00416,55,Male,Hispanic,4,Low,1,HS Diploma,0,0.6251,1
J00417,27,Male,White,2,Medium,1,HS Diploma,0,0.5374,0
J00418,20,Male,Hispanic,1,Medium,1,College+,0,0.3779,0
